,template,docked,rmsd,uniprot_id
50,2JH5_895,1O0D_163,7.021,P00734
51,2JH5_895,1WBG_L03,1.992,P00734
52,2JH5_895,2CN0_F25,4.004,P00734
53,2JH5_895,2ZFP_19U,6.776,P00734
54,2JH5_895,6ROT_KDQ,7.595,P00734
55,2JH5_895,3P17_99P,5.6129999999999995,P00734
56,2JH5_895,5AFY_WCE,2.322,P00734
57,2JH5_895,1SB1_165,7.957999999999999,P00734
58,2JH5_895,3SHA_P97,4.438,P00734
59,2JH5_895,1D3D_BZT,11.464,P00734
60,2JH5_895,2UUK_897,10.321,P00734
61,2JH5_895,2UUJ_896,6.7829999999999995,P00734
62,2JH5_895,3SV2_P05,6.945,P00734
63,2JH5_895,2JH6_894,1.682,P00734
64,2JH5_895,3DA9_44U,5.122000000000001,P00734
65,2JH5_895,3QTV_06P,6.435,P00734
66,1O0D_163,3QTO_10P,0.732,P00734
67,1O0D_163,2H9T_SVR,30.27,P00734
68,1O0D_163,1K22_MEL,0.852,P00734
69,1O0D_163,3QWC_98P,0.307,P00734
70,1O0D_163,1Z71_L17,6.876,P00734
71,1O0D_163,4YES_45S,7.1129999999999995,P00734
72,1O0D_163,1TA2_176,1.5130000000000001,P00734
73,1O0D_163,3DUX_64U,1.368,P00734
74,1O0D_163,1W7G_MIU,7.971,P00734
75,1O0D_163,3F68_91U,1.412,P00734
76,1O0D_163,2ZC9_22U,1.099,P00734
77,1O0D_163,2C8W_C7M,5.635,P00734
78,1O0D_163,1TA6_177,7.874,P00734
79,1O0D_163,2ZF0_51U,0.792,P00734
80,1O0D_163,2C8Z_C2A,4.431,P00734
81,1O0D_163,1ZGI_382,8.71,P00734
82,1O0D_163,2C8X_C5M,4.89,P00734
83,1O0D_163,1BCU_PRL,2.178,P00734
84,1O0D_163,1C5N_ESI,5.937,P00734
85,1O0D_163,6EO8_2FN,1.709,P00734
86,1O0D_163,1MU8_CDB,9.829,P00734
87,1O0D_163,3SI3_B03,1.189,P00734
88,1O0D_163,4UFG_D6J,4.497,P00734
89,1O0D_163,1D4P_BPP,12.005,P00734
90,1O0D_163,2ZDA_32U,1.6059999999999999,P00734
91,1O0D_163,1YPK_CCR,7.486000000000001,P00734
92,1O0D_163,1NT1_T76,6.795,P00734
93,1O0D_163,3QX5_02P,2.227,P00734
94,1O0D_163,1SL3_170,5.971,P00734
95,1O0D_163,1AFE_ALZ,2.503,P00734
96,1O0D_163,1ZGV_501,7.445,P00734
97,1O0D_163,3SHC_B01,0.99,P00734
98,1O0D_163,2ZGB_21U,3.2089999999999996,P00734
99,1O0D_163,3DHK_23U,1.093,P00734
100,1O0D_163,1NZQ_162,7.379,P00734
101,1O0D_163,1K21_IGN,0.804,P00734
102,1O0D_163,4UD9_FQI,3.8989999999999996,P00734
103,1O0D_163,2C93_C4M,7.292000000000001,P00734
104,1O0D_163,2ZDV_37U,1.264,P00734
105,1O0D_163,4UDW_N6L,2.2,P00734
106,1O0D_163,3SI4_B04,1.598,P00734
107,1O0D_163,1MU6_CDA,6.117000000000001,P00734
108,1O0D_163,1RIW_OSC,7.166,P00734
109,1O0D_163,1O0D_163,0.642,P00734
110,1O0D_163,5AFZ_UET,5.553999999999999,P00734
111,1O0D_163,2ZFP_19U,1.0090000000000001,P00734
112,1O0D_163,6ROT_KDQ,4.413,P00734
113,1O0D_163,1T4V_14A,8.052,P00734
114,1O0D_163,2C8Y_C3M,7.164,P00734
115,1O0D_163,3P17_99P,0.47,P00734
116,1O0D_163,5AFY_WCE,3.162,P00734
117,1O0D_163,1SB1_165,3.4819999999999998,P00734
118,1O0D_163,3EGK_M18,5.8870000000000005,P00734
119,1O0D_163,3SHA_P97,1.551,P00734
120,1O0D_163,1D3D_BZT,8.923,P00734
121,1O0D_163,2UUK_897,6.077999999999999,P00734
122,1O0D_163,3SV2_P05,0.327,P00734
123,1O0D_163,1AIX_T19,3.497,P00734
124,1O0D_163,3DA9_44U,0.863,P00734
125,1O0D_163,1A4W_QWE,8.49,P00734
126,1O0D_163,3QTV_06P,0.49200000000000005,P00734
127,2H9T_SVR,3QTO_10P,22.871,P00734
128,2H9T_SVR,1C1V_BAB,14.888,P00734
129,2H9T_SVR,3C1K_T15,21.675,P00734
130,2H9T_SVR,1C1U_BAI,10.548,P00734
131,2H9T_SVR,2H9T_SVR,8.691,P00734
132,2H9T_SVR,1K22_MEL,8.396,P00734
133,2H9T_SVR,1ZRB_062,23.295,P00734
134,2H9T_SVR,3QWC_98P,17.596,P00734
135,2H9T_SVR,1MUE_CDD,8.06,P00734
136,2H9T_SVR,1Z71_L17,9.004,P00734
137,2H9T_SVR,4YES_45S,14.673,P00734
138,2H9T_SVR,5AF9_SJR,10.296,P00734
139,2H9T_SVR,1TA2_176,4.336,P00734
140,2H9T_SVR,1WAY_L02,11.895999999999999,P00734
141,2H9T_SVR,4LXB_7R9,18.472,P00734
142,2H9T_SVR,1KTT_C02,19.285999999999998,P00734
143,2H9T_SVR,1KTS_C24,10.482999999999999,P00734
144,2H9T_SVR,2JH5_895,26.484,P00734
145,2H9T_SVR,3DUX_64U,10.681,P00734
146,2H9T_SVR,1W7G_MIU,25.524,P00734
147,2H9T_SVR,3F68_91U,18.399,P00734
148,2H9T_SVR,2ZC9_22U,22.988000000000003,P00734
149,2H9T_SVR,2JH0_701,15.036,P00734
150,2H9T_SVR,2C8W_C7M,11.895,P00734
151,2H9T_SVR,1TA6_177,10.547,P00734
152,2H9T_SVR,1YPG_UIR,20.612,P00734
153,2H9T_SVR,1C5O_BAM,21.938000000000002,P00734
154,2H9T_SVR,2ZF0_51U,5.118,P00734
155,2H9T_SVR,1AE8_AZL,11.642999999999999,P00734
156,2H9T_SVR,2C8Z_C2A,10.183,P00734
157,2H9T_SVR,1ZGI_382,13.431,P00734
158,2H9T_SVR,2C8X_C5M,25.090999999999998,P00734
159,2H9T_SVR,1BCU_PRL,4.395,P00734
160,2H9T_SVR,1C5N_ESI,22.584,P00734
161,2H9T_SVR,6EO9_2OJ,23.596999999999998,P00734
162,2H9T_SVR,6EO8_2FN,20.717,P00734
163,2H9T_SVR,1MU8_CDB,9.045,P00734
164,2H9T_SVR,1BHX_R56,21.414,P00734
165,2H9T_SVR,3SI3_B03,8.106,P00734
166,2H9T_SVR,4UFG_D6J,13.046,P00734
167,2H9T_SVR,1D4P_BPP,10.457,P00734
168,2H9T_SVR,2ZDA_32U,20.496,P00734
169,2H9T_SVR,3BIU_10U,13.452,P00734
170,2H9T_SVR,1C1W_BAH,19.980999999999998,P00734
171,2H9T_SVR,1YPK_CCR,9.422,P00734
172,2H9T_SVR,1NT1_T76,15.606,P00734
173,2H9T_SVR,4LOY_6XS,14.321,P00734
174,2H9T_SVR,1D3P_BT3,21.717,P00734
175,2H9T_SVR,3QX5_02P,16.663,P00734
176,2H9T_SVR,1SL3_170,14.872,P00734
177,2H9T_SVR,1AFE_ALZ,22.125999999999998,P00734
178,2H9T_SVR,1ZGV_501,23.224,P00734
179,2H9T_SVR,3SHC_B01,17.278,P00734
180,2H9T_SVR,2ZGB_21U,13.948,P00734
181,2H9T_SVR,5AHG_Y4L,9.764,P00734
182,2H9T_SVR,3DHK_23U,8.456,P00734
183,2H9T_SVR,1YPE_UIP,11.886,P00734
184,2H9T_SVR,1NZQ_162,20.345,P00734
185,2H9T_SVR,1K21_IGN,17.512,P00734
186,2H9T_SVR,4UD9_FQI,4.992,P00734
187,2H9T_SVR,2C93_C4M,14.456,P00734
188,2H9T_SVR,1OYT_FSN,7.744,P00734
189,2H9T_SVR,2ZDV_37U,11.071,P00734
190,2H9T_SVR,4UDW_N6L,5.155,P00734
191,2H9T_SVR,1GHV_120,7.401,P00734
192,2H9T_SVR,3SI4_B04,5.657,P00734
193,2H9T_SVR,1GHW_BMZ,7.516,P00734
194,2H9T_SVR,1MU6_CDA,8.488999999999999,P00734
195,2H9T_SVR,1RIW_OSC,21.518,P00734
196,2H9T_SVR,1O0D_163,15.998,P00734
197,2H9T_SVR,5AFZ_UET,16.743,P00734
198,2H9T_SVR,1YPJ_UIB,20.394000000000002,P00734
199,2H9T_SVR,1WBG_L03,12.072000000000001,P00734
200,2H9T_SVR,2CN0_F25,20.715999999999998,P00734
201,2H9T_SVR,2ZFP_19U,12.752,P00734
202,2H9T_SVR,6ROT_KDQ,9.774,P00734
203,2H9T_SVR,1T4V_14A,6.2010000000000005,P00734
204,2H9T_SVR,2C8Y_C3M,22.4,P00734
205,2H9T_SVR,3P17_99P,5.486000000000001,P00734
206,2H9T_SVR,5AFY_WCE,4.734,P00734
207,2H9T_SVR,1O2G_696,14.539000000000001,P00734
208,2H9T_SVR,1SB1_165,22.189,P00734
209,2H9T_SVR,3EGK_M18,14.440999999999999,P00734
210,2H9T_SVR,3SHA_P97,10.8,P00734
211,2H9T_SVR,2C90_C1M,19.421,P00734
212,2H9T_SVR,1D3D_BZT,20.636,P00734
213,2H9T_SVR,2UUK_897,15.722999999999999,P00734
214,2H9T_SVR,2UUJ_896,11.597000000000001,P00734
215,2H9T_SVR,3SV2_P05,18.69,P00734
216,2H9T_SVR,2JH6_894,21.258000000000003,P00734
217,2H9T_SVR,1NM6_L86,7.791,P00734
218,2H9T_SVR,1AIX_T19,18.273,P00734
219,2H9T_SVR,3DA9_44U,8.164,P00734
220,2H9T_SVR,1A4W_QWE,12.579,P00734
221,2H9T_SVR,3QTV_06P,18.973,P00734
222,1KTS_C24,3QTO_10P,4.72,P00734
223,1KTS_C24,1C1V_BAB,5.428,P00734
224,1KTS_C24,3C1K_T15,8.291,P00734
225,1KTS_C24,1C1U_BAI,7.542000000000001,P00734
226,1KTS_C24,2H9T_SVR,18.124000000000002,P00734
227,1KTS_C24,1K22_MEL,1.5590000000000002,P00734
228,1KTS_C24,1ZRB_062,8.857000000000001,P00734
229,1KTS_C24,3QWC_98P,6.261,P00734
230,1KTS_C24,1MUE_CDD,7.902,P00734
231,1KTS_C24,1Z71_L17,10.895999999999999,P00734
232,1KTS_C24,4YES_45S,8.296,P00734
233,1KTS_C24,5AF9_SJR,9.21,P00734
234,1KTS_C24,1TA2_176,6.436,P00734
235,1KTS_C24,1WAY_L02,6.52,P00734
236,1KTS_C24,1KTT_C02,1.6769999999999998,P00734
237,1KTS_C24,1KTS_C24,2.211,P00734
238,1KTS_C24,2JH5_895,6.375,P00734
239,1KTS_C24,3DUX_64U,7.523,P00734
240,1KTS_C24,1W7G_MIU,7.071000000000001,P00734
241,1KTS_C24,3F68_91U,7.667000000000001,P00734
242,1KTS_C24,2JH0_701,5.608,P00734
243,1KTS_C24,2C8W_C7M,4.852,P00734
244,1KTS_C24,1YPG_UIR,5.732,P00734
245,1KTS_C24,1C5O_BAM,6.04,P00734
246,1KTS_C24,2ZF0_51U,7.678999999999999,P00734
247,1KTS_C24,1AE8_AZL,7.449,P00734
248,1KTS_C24,2C8Z_C2A,6.8839999999999995,P00734
249,1KTS_C24,1ZGI_382,2.6180000000000003,P00734
250,1KTS_C24,2C8X_C5M,9.324,P00734
251,1KTS_C24,1BCU_PRL,8.366,P00734
252,1KTS_C24,1C5N_ESI,9.155,P00734
253,1KTS_C24,1MU8_CDB,11.5,P00734
254,1KTS_C24,1BHX_R56,7.752999999999999,P00734
255,1KTS_C24,3SI3_B03,4.128,P00734
256,1KTS_C24,4UFG_D6J,5.699,P00734
257,1KTS_C24,1D4P_BPP,7.43,P00734
258,1KTS_C24,2ZDA_32U,7.959,P00734
259,1KTS_C24,3BIU_10U,2.7769999999999997,P00734
260,1KTS_C24,1C1W_BAH,5.355,P00734
261,1KTS_C24,1YPK_CCR,9.337,P00734
262,1KTS_C24,1D3P_BT3,11.212,P00734
263,1KTS_C24,3QX5_02P,7.107,P00734
264,1KTS_C24,1SL3_170,8.326,P00734
265,1KTS_C24,1AFE_ALZ,8.673,P00734
266,1KTS_C24,1ZGV_501,7.649,P00734
267,1KTS_C24,3SHC_B01,5.357,P00734
268,1KTS_C24,5AHG_Y4L,4.919,P00734
269,1KTS_C24,1YPE_UIP,3.6189999999999998,P00734
270,1KTS_C24,1NZQ_162,10.163,P00734
271,1KTS_C24,4UD9_FQI,4.064,P00734
272,1KTS_C24,2C93_C4M,4.995,P00734
273,1KTS_C24,1OYT_FSN,2.9819999999999998,P00734
274,1KTS_C24,2ZDV_37U,9.252,P00734
275,1KTS_C24,4UDW_N6L,6.756,P00734
276,1KTS_C24,1GHV_120,6.55,P00734
277,1KTS_C24,1GHW_BMZ,6.8420000000000005,P00734
278,1KTS_C24,1MU6_CDA,11.255,P00734
279,1KTS_C24,1RIW_OSC,9.756,P00734
280,1KTS_C24,1O0D_163,7.0089999999999995,P00734
281,1KTS_C24,5AFZ_UET,2.577,P00734
282,1KTS_C24,1WBG_L03,5.647,P00734
283,1KTS_C24,2CN0_F25,8.53,P00734
284,1KTS_C24,6ROT_KDQ,7.08,P00734
285,1KTS_C24,2C8Y_C3M,7.197,P00734
286,1KTS_C24,3P17_99P,4.922,P00734
287,1KTS_C24,5AFY_WCE,7.135,P00734
288,1KTS_C24,1O2G_696,6.19,P00734
289,1KTS_C24,1SB1_165,9.07,P00734
290,1KTS_C24,3EGK_M18,9.783999999999999,P00734
291,1KTS_C24,3SHA_P97,4.367,P00734
292,1KTS_C24,2C90_C1M,3.943,P00734
293,1KTS_C24,1D3D_BZT,11.347999999999999,P00734
294,1KTS_C24,2UUK_897,8.29,P00734
295,1KTS_C24,2UUJ_896,8.115,P00734
296,1KTS_C24,3SV2_P05,4.8069999999999995,P00734
297,1KTS_C24,2JH6_894,5.796,P00734
298,1KTS_C24,1NM6_L86,8.905,P00734
299,1KTS_C24,1AIX_T19,7.26,P00734
300,1KTS_C24,3DA9_44U,7.577999999999999,P00734
301,1KTS_C24,1A4W_QWE,13.099,P00734
302,1KTS_C24,3QTV_06P,5.295,P00734
303,3BIU_10U,3QTO_10P,3.094,P00734
304,3BIU_10U,1C1V_BAB,5.449,P00734
305,3BIU_10U,3C1K_T15,1.631,P00734
306,3BIU_10U,1C1U_BAI,4.5760000000000005,P00734
307,3BIU_10U,1K22_MEL,3.238,P00734
308,3BIU_10U,1ZRB_062,3.8139999999999996,P00734
309,3BIU_10U,3QWC_98P,3.888,P00734
310,3BIU_10U,1MUE_CDD,1.8530000000000002,P00734
311,3BIU_10U,1Z71_L17,2.51,P00734
312,3BIU_10U,4YES_45S,2.66,P00734
313,3BIU_10U,5AF9_SJR,6.046,P00734
314,3BIU_10U,1TA2_176,3.37,P00734
315,3BIU_10U,1KTT_C02,7.513999999999999,P00734
316,3BIU_10U,1KTS_C24,4.21,P00734
317,3BIU_10U,2JH5_895,10.722000000000001,P00734
318,3BIU_10U,3DUX_64U,2.001,P00734
319,3BIU_10U,1W7G_MIU,6.466,P00734
320,3BIU_10U,3F68_91U,2.324,P00734
321,3BIU_10U,2ZC9_22U,2.563,P00734
322,3BIU_10U,2JH0_701,9.049,P00734
323,3BIU_10U,2C8W_C7M,3.923,P00734
324,3BIU_10U,1TA6_177,3.0180000000000002,P00734
325,3BIU_10U,1YPG_UIR,1.295,P00734
326,3BIU_10U,1C5O_BAM,0.6779999999999999,P00734
327,3BIU_10U,2ZF0_51U,6.6339999999999995,P00734
328,3BIU_10U,1AE8_AZL,4.486000000000001,P00734
329,3BIU_10U,2C8Z_C2A,1.8130000000000002,P00734
330,3BIU_10U,2C8X_C5M,4.956,P00734
331,3BIU_10U,1BCU_PRL,1.6369999999999998,P00734
332,3BIU_10U,1C5N_ESI,5.771,P00734
333,3BIU_10U,1MU8_CDB,4.887,P00734
334,3BIU_10U,1BHX_R56,8.624,P00734
335,3BIU_10U,3SI3_B03,3.8089999999999997,P00734
336,3BIU_10U,4UFG_D6J,8.908,P00734
337,3BIU_10U,1D4P_BPP,6.477,P00734
338,3BIU_10U,2ZDA_32U,2.2680000000000002,P00734
339,3BIU_10U,3BIU_10U,5.2989999999999995,P00734
340,3BIU_10U,1C1W_BAH,4.757,P00734
341,3BIU_10U,1YPK_CCR,9.527999999999999,P00734
342,3BIU_10U,3QX5_02P,7.446000000000001,P00734
343,3BIU_10U,1SL3_170,2.155,P00734
344,3BIU_10U,1AFE_ALZ,1.892,P00734
345,3BIU_10U,1ZGV_501,4.506,P00734
346,3BIU_10U,3SHC_B01,4.124,P00734
347,3BIU_10U,2ZGB_21U,1.6219999999999999,P00734
348,3BIU_10U,5AHG_Y4L,3.56,P00734
349,3BIU_10U,3DHK_23U,2.459,P00734
350,3BIU_10U,1YPE_UIP,4.495,P00734
351,3BIU_10U,1K21_IGN,5.891,P00734
352,3BIU_10U,4UD9_FQI,4.1739999999999995,P00734
353,3BIU_10U,2C93_C4M,6.977,P00734
354,3BIU_10U,1OYT_FSN,1.53,P00734
355,3BIU_10U,2ZDV_37U,2.371,P00734
356,3BIU_10U,4UDW_N6L,1.984,P00734
357,3BIU_10U,1GHV_120,1.815,P00734
358,3BIU_10U,3SI4_B04,3.293,P00734
359,3BIU_10U,1GHW_BMZ,2.4730000000000003,P00734
360,3BIU_10U,1MU6_CDA,2.381,P00734
361,3BIU_10U,1RIW_OSC,8.877,P00734
362,3BIU_10U,1O0D_163,9.735,P00734
363,3BIU_10U,5AFZ_UET,5.112,P00734
364,3BIU_10U,1YPJ_UIB,5.222,P00734
365,3BIU_10U,1WBG_L03,4.439,P00734
366,3BIU_10U,2CN0_F25,3.596,P00734
367,3BIU_10U,2ZFP_19U,1.673,P00734
368,3BIU_10U,6ROT_KDQ,3.386,P00734
369,3BIU_10U,2C8Y_C3M,9.61,P00734
370,3BIU_10U,3P17_99P,5.61,P00734
371,3BIU_10U,5AFY_WCE,3.8480000000000003,P00734
372,3BIU_10U,1O2G_696,8.69,P00734
373,3BIU_10U,1SB1_165,8.817,P00734
374,3BIU_10U,3EGK_M18,8.027000000000001,P00734
375,3BIU_10U,3SHA_P97,3.15,P00734
376,3BIU_10U,2C90_C1M,4.713,P00734
377,3BIU_10U,3SV2_P05,5.612,P00734
378,3BIU_10U,2JH6_894,9.77,P00734
379,3BIU_10U,1NM6_L86,5.652,P00734
380,3BIU_10U,1AIX_T19,3.5780000000000003,P00734
381,3BIU_10U,3DA9_44U,7.147,P00734
382,3BIU_10U,3QTV_06P,7.126,P00734
383,1TA2_176,3QTO_10P,1.449,P00734
384,1TA2_176,3C1K_T15,6.151,P00734
385,1TA2_176,1C1U_BAI,10.799000000000001,P00734
386,1TA2_176,2H9T_SVR,37.289,P00734
387,1TA2_176,1K22_MEL,2.6439999999999997,P00734
388,1TA2_176,1ZRB_062,3.4589999999999996,P00734
389,1TA2_176,3QWC_98P,6.462000000000001,P00734
390,1TA2_176,1MUE_CDD,5.797000000000001,P00734
391,1TA2_176,1Z71_L17,1.29,P00734
392,1TA2_176,4YES_45S,1.555,P00734
393,1TA2_176,5AF9_SJR,7.81,P00734
394,1TA2_176,1TA2_176,3.971,P00734
395,1TA2_176,1WAY_L02,8.294,P00734
396,1TA2_176,4LXB_7R9,10.562999999999999,P00734
397,1TA2_176,1KTT_C02,9.5,P00734
398,1TA2_176,1KTS_C24,8.024,P00734
399,1TA2_176,2JH5_895,6.737,P00734
400,1TA2_176,3DUX_64U,0.46,P00734
401,1TA2_176,1W7G_MIU,11.263,P00734
402,1TA2_176,3F68_91U,1.2109999999999999,P00734
403,1TA2_176,2ZC9_22U,6.454,P00734
404,1TA2_176,2JH0_701,7.03,P00734
405,1TA2_176,2C8W_C7M,2.406,P00734
406,1TA2_176,1TA6_177,1.367,P00734
407,1TA2_176,1YPG_UIR,6.975,P00734
408,1TA2_176,1C5O_BAM,3.872,P00734
409,1TA2_176,2ZF0_51U,4.482,P00734
410,1TA2_176,1AE8_AZL,3.873,P00734
411,1TA2_176,2C8Z_C2A,0.838,P00734
412,1TA2_176,1ZGI_382,8.001,P00734
413,1TA2_176,2C8X_C5M,4.48,P00734
414,1TA2_176,1BCU_PRL,8.122,P00734
415,1TA2_176,1C5N_ESI,8.19,P00734
416,1TA2_176,6EO9_2OJ,9.321,P00734
417,1TA2_176,6EO8_2FN,11.239,P00734
418,1TA2_176,1MU8_CDB,2.728,P00734
419,1TA2_176,1BHX_R56,5.644,P00734
420,1TA2_176,3SI3_B03,5.018,P00734
421,1TA2_176,4UFG_D6J,4.414,P00734
422,1TA2_176,1D4P_BPP,10.968,P00734
423,1TA2_176,2ZDA_32U,1.7990000000000002,P00734
424,1TA2_176,1C1W_BAH,11.390999999999998,P00734
425,1TA2_176,1YPK_CCR,7.506,P00734
426,1TA2_176,1NT1_T76,8.604,P00734
427,1TA2_176,1D3P_BT3,9.844,P00734
428,1TA2_176,3QX5_02P,5.636,P00734
429,1TA2_176,1SL3_170,0.377,P00734
430,1TA2_176,1AFE_ALZ,1.048,P00734
431,1TA2_176,1ZGV_501,7.915,P00734
432,1TA2_176,3SHC_B01,0.204,P00734
433,1TA2_176,2ZGB_21U,2.805,P00734
434,1TA2_176,5AHG_Y4L,2.41,P00734
435,1TA2_176,3DHK_23U,0.376,P00734
436,1TA2_176,1YPE_UIP,7.666,P00734
437,1TA2_176,1K21_IGN,6.859,P00734
438,1TA2_176,4UD9_FQI,2.898,P00734
439,1TA2_176,2C93_C4M,7.542999999999999,P00734
440,1TA2_176,1OYT_FSN,8.237,P00734
441,1TA2_176,2ZDV_37U,0.457,P00734
442,1TA2_176,4UDW_N6L,0.301,P00734
443,1TA2_176,1GHV_120,4.815,P00734
444,1TA2_176,3SI4_B04,3.9339999999999997,P00734
445,1TA2_176,1GHW_BMZ,9.469,P00734
446,1TA2_176,1MU6_CDA,3.115,P00734
447,1TA2_176,1RIW_OSC,11.501,P00734
448,1TA2_176,5AFZ_UET,9.741,P00734
449,1TA2_176,1YPJ_UIB,8.728,P00734
450,1TA2_176,1WBG_L03,8.889,P00734
451,1TA2_176,2CN0_F25,8.206,P00734
452,1TA2_176,2ZFP_19U,1.435,P00734
453,1TA2_176,6ROT_KDQ,0.93,P00734
454,1TA2_176,1T4V_14A,7.143,P00734
455,1TA2_176,2C8Y_C3M,7.567,P00734
456,1TA2_176,3P17_99P,5.013,P00734
457,1TA2_176,5AFY_WCE,1.229,P00734
458,1TA2_176,1O2G_696,10.432,P00734
459,1TA2_176,1SB1_165,2.596,P00734
460,1TA2_176,3EGK_M18,7.917999999999999,P00734
461,1TA2_176,3SHA_P97,2.295,P00734
462,1TA2_176,2C90_C1M,5.305,P00734
463,1TA2_176,1D3D_BZT,7.898,P00734
464,1TA2_176,2UUK_897,7.709,P00734
465,1TA2_176,3SV2_P05,0.488,P00734
466,1TA2_176,2JH6_894,6.728,P00734
467,1TA2_176,1AIX_T19,7.114,P00734
468,1TA2_176,3DA9_44U,0.59,P00734
469,1TA2_176,1A4W_QWE,12.772,P00734
470,1TA2_176,3QTV_06P,5.775,P00734
471,1BHX_R56,3QTO_10P,5.767,P00734
472,1BHX_R56,1C1V_BAB,11.757,P00734
473,1BHX_R56,3C1K_T15,6.4079999999999995,P00734
474,1BHX_R56,1C1U_BAI,11.081,P00734
475,1BHX_R56,2H9T_SVR,32.001,P00734
476,1BHX_R56,1K22_MEL,4.33,P00734
477,1BHX_R56,1ZRB_062,7.853,P00734
478,1BHX_R56,3QWC_98P,5.272,P00734
479,1BHX_R56,1MUE_CDD,1.399,P00734
480,1BHX_R56,1Z71_L17,9.007,P00734
481,1BHX_R56,4YES_45S,9.507,P00734
482,1BHX_R56,5AF9_SJR,9.933,P00734
483,1BHX_R56,1TA2_176,8.099,P00734
484,1BHX_R56,1WAY_L02,9.216000000000001,P00734
485,1BHX_R56,4LXB_7R9,7.176,P00734
486,1BHX_R56,1KTT_C02,9.469,P00734
487,1BHX_R56,1KTS_C24,10.01,P00734
488,1BHX_R56,3DUX_64U,7.723,P00734
489,1BHX_R56,1W7G_MIU,12.274000000000001,P00734
490,1BHX_R56,3F68_91U,7.807,P00734
491,1BHX_R56,2ZC9_22U,5.92,P00734
492,1BHX_R56,2C8W_C7M,7.335,P00734
493,1BHX_R56,1TA6_177,7.595,P00734
494,1BHX_R56,1YPG_UIR,9.138,P00734
495,1BHX_R56,1C5O_BAM,9.459,P00734
496,1BHX_R56,2ZF0_51U,8.03,P00734
497,1BHX_R56,1AE8_AZL,1.9380000000000002,P00734
498,1BHX_R56,2C8Z_C2A,9.777999999999999,P00734
499,1BHX_R56,1ZGI_382,8.443999999999999,P00734
500,1BHX_R56,2C8X_C5M,8.506,P00734
501,1BHX_R56,1BCU_PRL,9.724,P00734
502,1BHX_R56,1C5N_ESI,9.22,P00734
503,1BHX_R56,6EO9_2OJ,8.4,P00734
504,1BHX_R56,6EO8_2FN,10.54,P00734
505,1BHX_R56,1MU8_CDB,9.195,P00734
506,1BHX_R56,1BHX_R56,0.768,P00734
507,1BHX_R56,3SI3_B03,2.275,P00734
508,1BHX_R56,4UFG_D6J,6.355,P00734
509,1BHX_R56,1D4P_BPP,11.198,P00734
510,1BHX_R56,2ZDA_32U,10.606,P00734
511,1BHX_R56,3BIU_10U,8.193,P00734
512,1BHX_R56,1C1W_BAH,14.109000000000002,P00734
